Exp,Subject,Condition,PSE,sd,n
1,S01,dual,101.45083333333334,11.88645833150761,4
1,S01,simple-far,125.125,9.553012613830251,2
1,S01,simple-near,34.25,NA,1
1,S02,dual,104.69833333333334,2.997547076755636,4
1,S02,simple-far,113.84,6.703372285648474,2
1,S02,simple-near,93.25444444444445,11.503841655703804,2
1,S03,dual,79.7625,7.016444374942821,4
1,S03,simple-far,91.54833333333333,6.762297850747349,2
1,S03,simple-near,70.905,11.886464991745864,2
1,S04,dual,85.325625,13.57790214143923,4
1,S04,simple-far,153.56611111111113,1.77640936918087,2
1,S04,simple-near,85.005,27.216540007870222,2
1,S05,dual,68.28027777777777,2.442169711800261,4
1,S05,simple-far,80.07666666666667,8.122299893229483,2
1,S05,simple-near,67.935,31.50160710186069,2
1,S06,dual,144.41,10.971010284685113,4
1,S06,simple-far,122.75500000000001,23.355736982591665,2
1,S06,simple-near,90.56666666666666,1.7913371790059192,2
1,S07,simple-far,191.12,23.78707211911545,2
1,S07,simple-near,204.20277777777778,9.82485588748642,2
1,S08,dual,133.3625,10.553089200166305,4
1,S08,simple-far,144.36,1.697056274847718,2
1,S08,simple-near,118.4,5.034600282048221,2
1,S09,dual,135.48625,3.8201251615621254,4
1,S09,simple-far,221.26375,6.188952102335255,2
1,S09,simple-near,122.01555555555555,2.4104484496448038,2
1,S10,dual,187.2911111111111,5.54775474548483,4
1,S10,simple-far,223.925,41.01926437663164,2
1,S10,simple-near,104.11,35.28462838120873,2
1,S11,dual,108.56333333333333,9.655793032923299,4
1,S11,simple-far,96.55000000000001,5.529575028878806,2
1,S11,simple-near,94.215,12.211734111091673,2
1,S12,dual,140.3675,3.445309613566438,4
1,S12,simple-far,142.15722222222223,6.628733236523238,2
1,S12,simple-near,125.96722222222223,9.443018225645678,2
1,S13,dual,101.55416666666666,2.0452933774889126,4
1,S13,simple-far,131.875,22.26679253956439,2
1,S13,simple-near,109.73,2.7718585822512574,2
1,S14,dual,130.4725,14.031653205045608,4
1,S14,simple-far,144.995,16.35537984884484,2
1,S14,simple-near,125.82875000000001,25.82177188197975,2
1,S16,dual,101.00888888888889,2.6545665289817317,4
1,S16,simple-far,113.45,8.131727983645296,2
1,S16,simple-near,113.45,10.048773034862156,2
1,S17,dual,139.305,2.388381599884463,4
1,S17,simple-far,138.635,4.801255044256652,2
1,S17,simple-near,119.625,27.1599714653753,2
1,S18,dual,99.255,2.9243175842123104,4
1,S18,simple-far,103.36500000000001,9.114606409494598,2
1,S18,simple-near,84.5111111111111,10.025202808822607,2
1,S19,dual,138.60000000000002,7.58670767417155,4
1,S19,simple-far,149.94055555555556,22.16151219658771,2
1,S19,simple-near,119.38,12.756206332605322,2
1,S20,dual,96.5275,2.8819596920614017,4
1,S20,simple-far,103.57,13.222896808188441,2
1,S20,simple-near,102.195,4.58912300990069,2
1,S21,dual,92.215,3.981369111248042,4
1,S21,simple-far,112.28999999999999,3.196122650963192,2
1,S21,simple-near,92.155,3.033488091290283,2
1,S22,dual,109.8775,6.772180225008785,4
1,S22,simple-far,123.91111111111111,1.2413652380830533,2
1,S22,simple-near,87.40166666666667,16.732503465477677,2
1,S23,dual,114.565,7.606823691046526,4
1,S23,simple-far,116.595,4.1224325343175705,2
1,S23,simple-near,90.25,2.899137802864841,2
1,S24,dual,140.4625,3.4753261237856052,4
1,S24,simple-far,117.07166666666667,11.792184087587666,2
1,S24,simple-near,91.55,3.8890872965260113,2
1,S25,dual,95.1975,3.7948418939397173,4
