Subject,Condition,Block,Start,StairId,BranchStart,Trial,Distance,Response,Reversal,RT,OutlierDist,OutlierSubj
S01,simple,2,near,1,near,1,30.3,1,0,0.829785119000007,FALSE,FALSE
S01,simple,2,near,1,near,2,26.4,1,0,0.968079082999907,FALSE,FALSE
S01,simple,2,near,1,near,3,23,1,0,0.924377909999976,FALSE,FALSE
S01,simple,2,near,1,near,4,20,0,1,0.808996584999932,FALSE,FALSE
S01,simple,2,near,1,near,5,23,0,0,1.15096311799994,FALSE,FALSE
S01,simple,2,near,1,near,6,26.4,0,0,1.11922552099998,FALSE,FALSE
S01,simple,2,near,1,near,7,30.3,0,0,0.914741613000047,FALSE,FALSE
S01,simple,2,near,1,near,8,34.9,1,2,0.951455428999907,FALSE,FALSE
S01,simple,2,near,1,near,9,30.3,0,3,1.08538802600003,FALSE,FALSE
S01,simple,2,near,1,near,10,34.9,0,0,1.31584058699991,FALSE,FALSE
S01,simple,2,near,1,near,11,37.4,1,4,1.50321595100002,FALSE,FALSE
S01,simple,2,near,1,near,12,34.9,1,0,1.05337252699996,FALSE,FALSE
S01,simple,2,near,1,near,13,32.5,0,5,1.19055985700004,FALSE,FALSE
S01,simple,2,near,1,near,14,34.9,0,0,0.716189919000044,TRUE,FALSE
S01,simple,2,near,1,near,15,37.4,1,6,1.26058611399992,FALSE,FALSE
S01,simple,2,near,1,near,16,34.9,0,7,0.9610277889999,FALSE,FALSE
S01,simple,2,near,1,near,17,37.4,1,8,0.909501714999919,FALSE,FALSE
S01,simple,2,near,1,near,18,34.9,1,0,1.06614291799997,FALSE,FALSE
S01,simple,2,near,1,near,19,32.5,0,9,1.28546028300002,FALSE,FALSE
S01,simple,2,near,1,near,20,34.9,1,10,0.906599094999933,FALSE,FALSE
S01,simple,2,near,1,near,21,32.5,1,0,0.743798118999962,FALSE,FALSE
S01,simple,2,near,1,near,22,30.3,0,11,0.770704457000079,FALSE,FALSE
S01,simple,2,near,1,near,23,32.5,0,0,0.86156582000001,FALSE,FALSE
S01,simple,2,near,1,near,24,34.9,1,12,1.21207947899995,FALSE,FALSE
S01,simple,3,far,1,far,1,280,1,0,0.719908845000077,FALSE,FALSE
S01,simple,3,far,1,far,2,243.7,1,0,0.734684238,FALSE,FALSE
S01,simple,3,far,1,far,3,212.1,1,0,0.848716029000002,FALSE,FALSE
S01,simple,3,far,1,far,4,184.6,1,0,0.920229388999928,FALSE,FALSE
S01,simple,3,far,1,far,5,160.6,1,0,0.934282804999953,FALSE,FALSE
S01,simple,3,far,1,far,6,139.8,1,0,0.953326772000082,FALSE,FALSE
S01,simple,3,far,1,far,7,121.7,1,0,0.856375052999965,FALSE,FALSE
S01,simple,3,far,1,far,8,105.9,1,0,0.847774272000038,FALSE,FALSE
S01,simple,3,far,1,far,9,92.2,0,1,1.53588990399999,FALSE,FALSE
S01,simple,3,far,1,far,10,105.9,0,0,1.02555479,FALSE,FALSE
S01,simple,3,far,1,far,11,121.7,0,0,1.45008214300003,FALSE,FALSE
S01,simple,3,far,1,far,12,139.8,1,2,1.50029874000006,FALSE,FALSE
S01,simple,3,far,1,far,13,121.7,1,0,0.96567092500004,FALSE,FALSE
S01,simple,3,far,1,far,14,105.9,1,0,1.33583738799996,FALSE,FALSE
S01,simple,3,far,1,far,15,92.2,0,3,0.827419558999964,FALSE,FALSE
S01,simple,3,far,1,far,16,105.9,0,0,0.791464375000032,FALSE,FALSE
S01,simple,3,far,1,far,17,113.5,0,0,0.987244710000027,FALSE,FALSE
S01,simple,3,far,1,far,18,121.7,0,0,1.22566338700005,FALSE,FALSE
S01,simple,3,far,1,far,19,130.4,0,0,1.48850813000001,FALSE,FALSE
S01,simple,3,far,1,far,20,139.8,1,4,1.1286171910001,FALSE,FALSE
S01,simple,3,far,1,far,21,130.4,1,0,1.1653236300001,FALSE,FALSE
S01,simple,3,far,1,far,22,121.7,1,0,1.17318316500018,FALSE,FALSE
S01,simple,3,far,1,far,23,113.5,1,0,1.26495838899996,FALSE,FALSE
S01,simple,3,far,1,far,24,105.9,0,5,1.00835281899981,FALSE,FALSE
S01,simple,3,far,1,far,25,113.5,0,0,1.07821398500005,FALSE,FALSE
S01,simple,3,far,1,far,26,121.7,0,0,0.937939695000068,FALSE,FALSE
