Subject,Condition,Order,Start,k,Trial,x,Response,Reversal,RT
S51,simple,1,cerca,1,1,20,0,0,0.662631281999893
S51,simple,1,cerca,1,2,40,0,0,0.649694834000002
S51,simple,1,cerca,1,3,60,0,0,0.625750307000089
S51,simple,1,cerca,1,4,80,0,0,0.672395645000051
S51,simple,1,cerca,1,5,100,0,0,0.966167939000115
S51,simple,1,cerca,1,6,120,1,1,0.707145474999834
S51,simple,1,cerca,1,7,100,0,2,1.02340913200032
S51,simple,1,cerca,1,8,120,1,3,0.658633876000295
S51,simple,1,cerca,1,9,110,1,0,1.12865462799982
S51,simple,1,cerca,1,10,100,0,4,0.79288661999999
S51,simple,1,cerca,1,11,110,0,0,0.893916945000001
S51,simple,1,cerca,1,12,120,0,0,1.26170101800017
S51,simple,1,cerca,1,13,130,1,5,0.69215043200029
S51,simple,1,cerca,1,14,120,0,6,1.34162374800007
S51,simple,1,cerca,1,15,130,1,7,0.674208779999844
S51,simple,1,cerca,1,16,120,1,0,0.721671543999946
S51,simple,1,cerca,1,17,110,1,0,1.07125078900026
S51,simple,1,cerca,1,18,100,0,8,0.733544957000049
S51,simple,1,cerca,1,19,110,0,0,0.879755617999763
S51,simple,1,cerca,1,20,120,0,0,0.969200081999588
S51,simple,1,cerca,1,21,130,0,0,0.759626125000068
S51,simple,1,cerca,1,22,140,0,0,0.860621467000328
S51,simple,1,cerca,1,23,150,0,0,1.41439650400025
S51,simple,1,cerca,1,24,160,1,9,0.655556410000372
S51,simple,1,cerca,1,25,150,1,0,0.727031775999876
S51,simple,1,cerca,1,26,140,1,0,1.042620833
S51,simple,1,cerca,1,27,130,1,0,0.999158990000069
S51,simple,1,cerca,1,28,120,1,0,1.50672310100026
S51,simple,1,cerca,1,29,110,0,10,1.12011630699999
S51,simple,1,cerca,1,30,120,0,0,0.888693541000066
S51,simple,1,cerca,1,31,130,0,0,0.827163378000023
S51,simple,1,cerca,1,32,140,0,0,0.945315864999884
S51,simple,1,cerca,1,33,150,1,11,0.833635563999906
S51,simple,1,cerca,1,34,140,0,12,1.10246984300011
S51,simple,2,cerca,1,1,20,0,0,0.657008549000238
S51,simple,2,cerca,1,2,40,0,0,0.633885500999895
S51,simple,2,cerca,1,3,60,0,0,0.654952294000395
S51,simple,2,cerca,1,4,80,0,0,0.56112542000028
