Experiment,Subject,Reach,Table Length,Room Length,Room Width,Room Height
1,S01,82,,,,
1,S02,100,,,,
1,S03,80,,,,
1,S04,93,,,,
1,S05,95,,,,
1,S06,90,,,,
1,S07,94,,,,
1,S08,90,,,,
1,S09,79,,,,
1,S10,94,,,,
1,S11,74,,,,
1,S12,94,,,,
1,S13,55,,,,
1,S14,89,,,,
1,S15,82,,,,
1,S16,83,,,,
1,S17,89,,,,
1,S18,82,,,,
1,S19,83,,,,
1,S20,86,,,,
1,S21,82,,,,
1,S22,91,,,,
1,S23,92,,,,
1,S24,84,,,,
1,S25,88,,,,
2,S51,85,1.5,4,2.5,2.5
2,S52,95,1.5,5,3,4
2,S53,89,1.8,4,3,3
2,S54,92,1.1,3.5,3.5,3
2,S55,88,1.5,4,5,2.5
2,S56,98,1.5,9,7,2
2,S57,85,2,5,3,3
2,S58,83,1,4,4,4
2,S59,87,3,8,4,2.5
2,S60,93,1,6,4,3
2,S61,91,2,5,4,2.5
2,S62,91,1.5,5,3,2
2,S63,90,2.5,6,4,3
2,S64,91,,,,
2,S65,88,1.8,3.5,5.5,2.2
2,S66,87,3,5,3,2.5
2,S67,88,2,4,2,2.5
2,S68,85,1.5,6,5,3
2,S69,92,2.5,5,3,3.5
2,S70,78,2,3,3,5
2,S71,78,3.5,3.5,4,3
2,S72,96,1,4,4,3
2,S73,85,2,4,4.5,2.2
2,S74,92,2,4,5,3
2,S75,84,1,3,4,3
