Subject,Condition,Block,Start,StairId,BranchStart,Trial,Distance,Response,Reversal,RT
S59,simple,2,far,1,far,1,220,1,0,1.76163304199872
S59,simple,2,far,1,far,2,200,1,0,1.80779596500361
S59,simple,2,far,1,far,3,180,0,1,1.3397423139977
S59,simple,2,far,1,far,4,200,0,0,1.49319952099904
S59,simple,2,far,1,far,5,220,1,2,1.97380137599976
S59,simple,2,far,1,far,6,200,1,0,1.61925012400025
S59,simple,2,far,1,far,7,190,0,3,1.1248888629998
S59,simple,2,far,1,far,8,200,0,0,1.38218270499783
S59,simple,2,far,1,far,9,210,1,4,1.51790530700237
S59,simple,2,far,1,far,10,200,1,0,0.950191648997134
S59,simple,2,far,1,far,11,190,0,5,1.42580789799831
S59,simple,2,far,1,far,12,200,0,0,1.63475307199406
S59,simple,2,far,1,far,13,210,0,0,1.48243684400222
S59,simple,2,far,1,far,14,220,1,6,1.63237813900196
S59,simple,2,far,1,far,15,210,0,7,1.66449129200191
S59,simple,2,far,1,far,16,220,0,0,1.46235090499977
S59,simple,2,far,1,far,17,220,0,0,0.9272157910018
S59,simple,2,far,1,far,18,220,0,0,1.25733762500022
S59,simple,2,far,1,far,19,220,1,8,1.22391842999787
S59,simple,2,far,1,far,20,210,0,9,1.67739944300411
S59,simple,2,far,1,far,21,220,1,10,1.93805164300284
S59,simple,2,far,1,far,22,210,0,11,1.1738459489934
S59,simple,2,far,1,far,23,220,1,12,1.78985321200162
S65,simple,1,far,1,far,1,220,1,0,0.926120409999839
S65,simple,1,far,1,far,2,200,1,0,1.69589370499989
S65,simple,1,far,1,far,3,180,0,1,1.33066393200011
S65,simple,1,far,1,far,4,200,1,2,1.36183084500021
S65,simple,1,far,1,far,5,180,0,3,1.36124387400014
S65,simple,1,far,1,far,6,190,1,4,1.64710255500017
S65,simple,1,far,1,far,7,180,0,5,1.53164679799988
S65,simple,1,far,1,far,8,190,0,0,1.23730447299999
S65,simple,1,far,1,far,9,200,0,0,1.54971610500002
S65,simple,1,far,1,far,10,210,0,0,1.91991833199995
S65,simple,1,far,1,far,11,220,0,0,1.66548420400022
S65,simple,1,far,1,far,12,220,1,6,1.80003399300017
S65,simple,1,far,1,far,13,210,0,7,1.7775933150001
S65,simple,1,far,1,far,14,220,0,0,1.77908420800009
S65,simple,1,far,1,far,15,220,0,0,1.744373279
S65,simple,1,far,1,far,16,220,0,0,1.88224459999992
S65,simple,1,far,1,far,17,220,0,0,2.52612800500015
S65,simple,1,far,1,far,18,220,0,0,3.13414366300003
S65,simple,1,far,1,far,19,220,0,0,2.09142092299999
S65,simple,1,far,1,far,20,220,1,8,2.15214662699987
S65,simple,1,far,1,far,21,210,0,9,1.3206604049999
S65,simple,1,far,1,far,22,220,1,10,1.43945945999985
S65,simple,1,far,1,far,23,210,0,11,1.32619343600004
S65,simple,1,far,1,far,24,220,1,12,1.67573795400017
S70,simple,1,far,1,far,1,220,0,0,0.749116029001016
S70,simple,1,far,1,far,2,220,0,0,0.709427825000603
S70,simple,1,far,1,far,3,220,1,1,0.447727626997221
S70,simple,1,far,1,far,4,200,1,0,0.538503870004206
S70,simple,1,far,1,far,5,180,0,2,0.482987871997466
S70,simple,1,far,1,far,6,200,1,3,0.578619384999911
S70,simple,1,far,1,far,7,190,0,4,0.340892797998094
S70,simple,1,far,1,far,8,200,1,5,0.446117291998235
S70,simple,1,far,1,far,9,190,0,6,0.394788489997154
S70,simple,1,far,1,far,10,200,1,7,0.341494437998335
S70,simple,1,far,1,far,11,190,0,8,0.232355936001113
S70,simple,1,far,1,far,12,200,1,9,0.377028126000369
S70,simple,1,far,1,far,13,190,0,10,0.412181840998528
S70,simple,1,far,1,far,14,200,0,0,0.566826008005592
S70,simple,1,far,1,far,15,210,0,0,0.776032535999548
S70,simple,1,far,1,far,16,220,0,0,0.342877720002434
S70,simple,1,far,1,far,17,220,0,0,0.417113538998819
S70,simple,1,far,1,far,18,220,0,0,0.365552777002449
S70,simple,1,far,1,far,19,220,1,11,0.40269033399818
S70,simple,1,far,1,far,20,210,1,0,0.377934267002274
S70,simple,1,far,1,far,21,200,0,12,0.588812027999666
S70,simple,3,far,1,far,1,220,1,0,0.507185391004896
S70,simple,3,far,1,far,2,200,0,1,0.596062461998372
S70,simple,3,far,1,far,3,220,1,2,0.315284973003145
S70,simple,3,far,1,far,4,200,1,0,0.526118909001525
S70,simple,3,far,1,far,5,190,1,0,0.455390569994051
S70,simple,3,far,1,far,6,180,1,0,0.51471908899839
S70,simple,3,far,1,far,7,170,0,3,0.449771394996787
S70,simple,3,far,1,far,8,180,0,0,0.50120110300486
S70,simple,3,far,1,far,9,190,0,0,0.468042222993972
S70,simple,3,far,1,far,10,200,0,0,0.42726188099914
S70,simple,3,far,1,far,11,210,0,0,0.458381543998257
S70,simple,3,far,1,far,12,220,1,4,0.503982130998338
S70,simple,3,far,1,far,13,210,0,5,0.2987928789953
S70,simple,3,far,1,far,14,220,0,0,0.745600806003495
S70,simple,3,far,1,far,15,220,0,0,0.378823547005595
S70,simple,3,far,1,far,16,220,0,0,0.406474834002438
